lane1-A1-A_S1_L001_1	146679777	trimmedCounts
lane1-A1-A_S1_L001_2	146679777	trimmedCounts
lane1-A2-B_S2_L001_1	213777173	trimmedCounts
lane1-A2-B_S2_L001_2	213777173	trimmedCounts
lane1-A3-C_S3_L001_1	125272403	trimmedCounts
lane1-A3-C_S3_L001_2	125272403	trimmedCounts
lane1-A4-D_S4_L001_1	167785176	trimmedCounts
lane1-A4-D_S4_L001_2	167785176	trimmedCounts
lane1-X1-E_S5_L001_1	158803831	trimmedCounts
lane1-X1-E_S5_L001_2	158803831	trimmedCounts
lane1-X3-F_S6_L001_1	146117314	trimmedCounts
lane1-X3-F_S6_L001_2	146117314	trimmedCounts
lane2-X2-E_S7_L002_1	136739920	trimmedCounts
lane2-X2-E_S7_L002_2	136739920	trimmedCounts
lane2-X4-F_S8_L002_1	159610221	trimmedCounts
lane2-X4-F_S8_L002_2	159610221	trimmedCounts
lane2-X5-A_S9_L002_1	181472401	trimmedCounts
lane2-X5-A_S9_L002_2	181472401	trimmedCounts
lane2-X6-B_S10_L002_1	158605320	trimmedCounts
lane2-X6-B_S10_L002_2	158605320	trimmedCounts
lane2-X7-C_S11_L002_1	132521186	trimmedCounts
lane2-X7-C_S11_L002_2	132521186	trimmedCounts
lane2-X8-D_S12_L002_1	177954347	trimmedCounts
lane2-X8-D_S12_L002_2	177954347	trimmedCounts
